Headlines,Date
The “Tonight Show” host cited a New York Times report that found Facebook had given other companies extensive access to users’ information.,2018/12/20
Executives at several houses said they passed on the material and in some cases declined to read it because of controversies surrounding him.,2019/05/02
"It took nearly 30 years, but the fantasy epic by Neil Gaiman and Terry Pratchett will arrive onscreen in the form of a six-part mini-series debuting May 31.",2019/05/29
"Pay-TV software maker Synamedia, supplier to Comcast's Sky and AT&T's Direct TV, believes the pay-TV market will continue to grow despite the rise of streaming services such as Netflix and Amazon Prime Video.",reuters/20
Both the gourmet grocer and the rarefied department store made shopping feel like art. Now they are in financial free-fall. Does it matter?,2019/08/08
"Everything you need to know from Season 1, just in time for the long-awaited Season 2.",2019/05/15
Here’s what you need to know at the end of the day.,2019/08/07
"In 2018, there were some early glimmers that corporate America is realizing bigger isn’t always better.",2018/12/21
This stock market rally hasn’t been as intense as many others that preceded it.,2019/03/09
New satellite data reveals that the world’s tropical forests lost roughly 39 million acres of trees last year — an area the size of Bangladesh. ,2018/06/27
A new Galeries Lafayette branch on the Champs-Élysées is just the most recent effort by Parisian department stores to go from dusty to daring.,2019/03/06
"Looking for something tender, retro or hands-on? Look no further than these three TV recommendations.",2019/06/20
"At $45 a share, the company became the third largest for a firm going public on an American exchange.",2019/05/09
"Here are the titles we think are most interesting, broken down by streaming service.",2017/05/01
"Todd Douglas Miller’s new documentary, “Apollo 11,” is one of the most rousing movies ever made about NASA and space. Here are more films to explore.",2019/03/03
A documentary on underground skating culture rolls onto HBO. And the first season of “Manifest” ends on NBC.,2019/02/18
"A documentarian and his crew re-enact real ecological experiments, training the viewer to see biodiversity as beauty.",2019/05/09
Amazon and other tech giants have made devices connected to the internet increasingly prevalent. Now is the time to be freaking out about the dangers.,2018/10/10
The sell-off is the latest evidence of how quickly investors soured on Big Tech late last year.,2019/02/15
"President Trump is preparing to meet with Kim Jong-un, the North Korean leader, in Vietnam. Jimmy Kimmel and Conan O’Brien offered commentary.",2019/02/27
"In a live television spectacle involving cards, boxes and a triple-split-screen, CNN revealed who will face off in the next set of Democratic debates.",2019/07/19
Sarah Jessica Parker’s comedy series returns for a fourth season. And the original “Veronica Mars” lands on Hulu ahead of a reboot.,2019/07/01
"Three top-performing funds each racked up returns of more than 25 percent, helped by bets on small- and mid-cap growth stocks.",2019/04/12
"The algorithms know what we’ll do, but not why we do it. At least not yet.",2019/05/28
"Concluding that his tariff threat worked with Mexico, the president vowed to hit Beijing with more levies if it did not accede to America’s trade demands.",2019/06/11
"Britain's FTSE 100 surged to its highest in nearly a year on Monday, as shares of Just Eat and London Stock Exchange rallied on deal-related news, while exporter stocks benefited from a weaker pound amid heightened 'no-deal' Brexit fears.",reuters/20
"At a time when trust in its services is eroding, the social network introduced Portal and Portal Plus, its first major effort to build consumer hardware from scratch.",2018/10/08
Brazil was an influential player in efforts to tame climate warming and mitigate its effects. It is now moving in the opposite direction.,2018/11/28
"Steve Case, chief executive of Revolution, speaking at The New York Times’s Cities for Tomorrow conference, described how cities that competed for and lost Amazon’s HQ2 could still see long-term benefits.",video/embe
Amy Sedaris offers dubious homemaking lessons in the second season of her parody show. And two nihilists profit from failed romances in a Netflix comedy.,2019/02/19
Hundreds of thousands of miles of cable connect continents to support our insatiable demand for communication and entertainment. Companies have typically pooled their resources. Now Google is going its own way.,interactiv
"If recent increases are any indication, chances are your next iDevice will cost even more. We analyzed how prices have shot up and offer ways to buy for less.",2019/01/30
"Both inside and outside the White House, there are growing calls for a weakening of China’s links to U.S. financial markets.",2019/05/29
Is Ms. Varda’s long unavailable feminist musical as divisive as it was 1977? Watch it now in a new 2K digital restoration and decide.,2018/05/30
"Controversy over a video uploaded to Twitter over the weekend revealed old fault lines, and why social media is so good at exposing them.",2019/01/25
This is the gear that the parents at Wirecutter rely on when traveling with their children.,2019/06/15
Toni Morrison dies. Nicolas Cage. Five years after Ferguson. What makes an American? A history of green lawns. Woodstock at 50. And more.,2019/08/09
A look at key screen moments (and where to watch them) from the career of the director and actress.,2018/12/18
"After 11 years guiding indie cinema’s premier event, John Cooper will move to an emeritus role after the 2020 edition.",2019/06/27
"The nonpartisan election features 17 candidates, and a number of variables.",2019/02/24
"Chinese officials said growth in the second quarter was just 6.2 percent, showing the limits of Beijing’s ability to juice its economy.",2019/07/15
"Economic fears are climbing — but so are the markets, with the S&P 500 and the Dow Jones industrial average both setting records yesterday.",2019/07/12
"The company is in the middle of a push to get Alexa, its voice-activated assistant, in cars, appliance and more. It looks like a giant play for data.",2017/01/06
A video rental store that is believed to be among one of the last of its size on the East Coast is set to close in Virginia.,aponline/2
David Benioff and D.B. Weiss agreed to a deal that will have them creating new TV shows and films for the streaming giant.,2019/08/07
A darkly humorous new series is like “Mr. Robot” redone as a whimsical farce,2017/02/23
"French farming minister Didier Guillaume said on Tuesday U.S. President Donald Trump's threat to tax French wines was ""completely moronic"".",reuters/20
"The 33-year-old former Amazon software engineer accused of hacking Capital One made little attempt to hide her attack. In fact, she effectively publicized it.",aponline/2
Here’s what you need to know to start your day.,2017/09/07
"Plus, where should police departments draw the line with facial recognition surveillance?",2019/08/03
"As the 50th anniversary of the moon landing approaches, these movies, television shows and podcasts help shine a light on the story.",2019/07/03
,aponline/2
The most recent “The Fast and the Furious” movie airs on FX. And a mini-series on SundanceTV looks at an unsolved case of vigilante justice.,2019/08/01
What will people buy on Prime Day 2019? We look to previous years’ best sellers for clues.,2019/07/11
"New data from the Brazilian space institute published Tuesday point to a surge in deforestation in the Amazon in the last quarter, fueling fears that President Jair Bolsonaro's pro-agrobusiness policies will accelerate deforestation.",aponline/2
Amazon’s nationwide jobs fair on Wednesday offered a vivid illustration of its ascendance and seemingly insatiable need for workers to fuel its growth.,2017/08/02
How can third-party sellers offer “new” books at prices below even the Amazon discount?,2017/10/12
"The F.T.C. said that the acquisition would not harm competition. In addition, Whole Foods shareholders voted to approve the deal.",2017/08/23
"The company introduced a wide collection of new Echo devices that are smaller, cheaper and, in some cases, built for specific areas of the home.",2017/09/27
"Hubert Joly, Best Buy’s chief executive, has reshaped nearly every aspect of the business. He explains the playbook behind the company’s success.",2017/09/18
"Here are the titles we think are most interesting for June, broken down by service and release date.",2018/06/01
The owner of an independent bookstore says it doesn’t use an algorithm to decide what to stock.,2017/06/07
The series from Will Packer sounds like the reverse of HBO’s “Confederate.” It will depict a separate country founded by former slaves.,2017/08/01
Amsterdam-based Takeaway.com and British rival Just Eat have finalised the terms of their deal to create a global food delivery company that can rival Uber Eats as the largest outside China.,reuters/20
Brazil’s ecotourism is unregulated and out of control.,2017/04/20
"Shareholders are expected to approve a $13.4 billion bid. At a conference in Wyoming, neither Janet Yellen, the Fed chairwoman, nor Mario Draghi, president of the European Central Bank, is expected to address policy.",2017/08/20
An error at an Amazon data center in Virginia caused chaos for a number of websites. The mistake offers a lesson on dependency.,2017/03/13
Amazon might have been the center of a new tech ecosystem in Queens. Here’s what the city can do next.,2019/02/20
Learn about an unusual cult that never existed in Season 3 of “Documentary Now!” And revisit “The Incredibles” on Freeform.,2019/02/20
French demands and a fear of the new company being seen as politically influenced reportedly caused the deal to crash.,2019/06/06
"Corrections appearing in print on Saturday, May 11, 2019.",2019/05/10
"There’s a reason that logging off is very important to Amanda Hess, a critic at large who covers the internet and the culture it creates.",2019/07/24
"For decades, antitrust regulation has focused on the welfare of the consumer. Now a backlash over Big Tech’s power has regulators and scholars trying to reverse years of established doctrine.",2019/06/20
Pawel Pawlikowski’s acclaimed “Cold War” is streaming on Amazon. And Netflix releases the next season of “The OA.”,2019/03/22
Ms. Warren has proposed a $1.25 trillion plan that would wipe out most student debt.,2019/07/30
The current earnings season shows just how sharply the fortunes of the companies that operate the country’s big stores are diverging.,2019/03/06
Desus Nice and the Kid Mero host the director Ava DuVernay on Showtime. And “BlacKkKlansman” airs on HBO.,2019/05/30
The 2011 thriller “Hanna” is reimagined as an Amazon web series. And Woody Harrelson and Kevin Costner star in “The Highwaymen” on Netflix.,2019/03/29
"The authorities did not reveal the motive for the clash, only confirming that it was a fight between criminal groups, a day after 58 inmates were killed by a rival gang.",2019/07/31
"GrubHub Inc's quarterly profit missed analyst estimates on Tuesday, hit by soaring costs as the online food delivery company tries to fend off competition, sending its shares down 8% in afternoon trading. ",reuters/20
Calls for outright bans on facial recognition are mounting. How likely are they to succeed?,2019/07/12
"The musician and TV creator’s new project, a 55-minute film with Rihanna, is available now to stream on Amazon.",2019/04/13
New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in December.,interactiv
Streaming services are constantly adding new stuff to their libraries. Here are six fresh favorites.,2017/10/13
"A week after Amazon announced plans for a second headquarters somewhere in North America, Walmart said on Friday that it is building a new home office in Bentonville.",2017/09/15
"Asger Jorn and company’s irreverent improvisations; Brett Wallace’s dystopian workplace; and Jackie Gendel’s portraits of women, all “to be titled.”",2019/04/03
"Amazon’s warehouses, which now employ more than 125,000 people across the United States, are being outfitted with the latest in robots and tech, but not at the expense of human jobs.",video/tech
"To land Amazon’s second headquarters, the city is playing up its tech talent pool and infrastructure, but the cost of doing business is steep.",2017/10/18
The company’s $13.4 billion deal for Whole Foods is the latest signal of Amazon’s ambitions to have a hold on nearly every facet our lives — like the computer servers that power our favorite websites and the food we eat.,interactiv
"President Trump wrongly suggested, again, that Amazon does not pay taxes. The company paid $412 million last year and collects sales taxes in all states that levy them.",2017/08/16
"Amazon’s Kindle e-readers and tablets have been able to play music for years, and there are a few ways to move your listening library to a new device.",2017/07/06
New movies and TV shows are added to streaming platforms all the time. Here are the ones we think are most interesting in the coming month.,2018/02/01
"Experts suggest we should temper expectations about the venture, which also involves JPMorgan Chase and Berkshire Hathaway.",2018/01/30
The latest on developments in financial markets (all times local):,aponline/2
"The couple met through Coffee Meets Bagel, a dating app.",2019/06/02
A tweet may have implied support for legislation helping states force online retailers to collect sales taxes. But that is already Amazon’s practice.,2017/06/28
"Mexico's government will propose adjusting the tax system to address the ""realities"" of the digital economy and e-commerce when the 2020 budget is presented in September, Finance Ministry official Francisco Arias said on Wednesday.",reuters/20
"A study that examined domesticated trees and plants, including in areas near archaeological sites, supports the idea that indigenous humans helped shape the forest.",2017/03/03
"After crushing the independent bookstore industry, Amazon opens its own. Leave your cash at home.",2017/05/27
"Google, Facebook, Amazon and Apple are facing greater scrutiny from antitrust regulators in the Justice Department and Federal Trade Commission.",2019/06/03
"The streaming service has extensive film and TV series offerings from India’s movie industry, but it’s not one-stop shopping.",2017/08/10
"Alter do Chão in Brazil is among the world’s most alluring beach towns, even though it is far removed from the sea in a remote corner of the jungle.",2017/03/20
"Labor rights of immigrants are not high on this year’s electoral agenda, yet voters can be receptive to leaders willing to bring criminals to justice.",2018/05/08
Our TV critic offers suggestions to this and other reader questions.,2019/08/01
"The bride and groom met after freshman year in college at the house of a mutual friend, when she was at Wesleyan and he at N.Y.U.",2019/04/28
Staying in for Christmas? Watch a feel-good holiday classic. Or stream a Marvel film or two.,2018/12/25
The Latest on a new United Nations report on climate change (all times local):,aponline/2
"The investigation is the latest attempt by the Trump administration to shelter American companies, and technology firms particularly, by targeting trading partners.",2019/07/10
"The newsletter’s countdown starts today, with #5.",2018/12/24
"Standing with a reusable booster and a model of a capsule for carrying humans into space, the billionaire disclosed that he had been financing his rocket company by selling shares in his company.",2017/04/05
"Whether you’d rather sit upright, recline closer to the sand or tote a lot of gear to the beach, there’s a chair for you. The trick is finding it.",2019/07/15
"Plus, tensions with Iran reach a boiling point and Trump’s meeting with China’s president.",2019/06/22
"A retailer synonymous with cutting-edge fashion, Barneys New York built its reputation by luring shoppers with unconventional methods.",2019/08/06
Rachelle Lefevre is the head of a law firm specializing in reversing wrongful convictions in a Fox drama. And an Amazon series revisits Lorena Bobbitt.,2019/02/15
“Kinky Boots” hits BroadwayHD. And the most recent James Bond film airs on FXM.,2019/07/15
A new adaptation of William Makepeace Thackeray’s novel is on Amazon Prime. And a cast of big names is assembled in “Life Itself.”,2018/12/21
Pharmaceutical delivery apps like Capsule offer an alternative to drugstores. Whether they could spell the end to commercial chains is up for debate.,2019/04/05
"Cardi B, Lil Nas X and others perform at the BET Awards. And the well-received Todd Douglas Miller documentary about Apollo 11 airs on CNN.",2019/06/23
"The couple were introduced in February 2017 through the League, a dating app.",2019/04/21
Here’s what you need to know at the end of the day.,2019/06/17
Plaintiffs argued that the technology giant had used its monopoly power to raise the prices of iPhone apps.,2019/05/13
"The recent, reimagined “Robin Hood” airs on HBO. And stream “Ben Is Back,” with Julia Roberts and Lucas Hedges, on Hulu.",2019/07/11
Two new shootings have forced some businesses to reflect on what they can do.,2019/08/05
The announcement by the online giant reflects what an economist sees as an inevitable process in which new industries rise and replace old ones.,2017/01/12
"Ms. Thompson, a 33-year-old software developer, made a habit of oversharing online. Those posts led the authorities to her door.",2019/07/30
"Kathryn Hahn stars in a curious, daring and messy new series on Amazon that explores feminism, identity and power, as expressed through culture and art.",2017/05/11
A new adaptation of a classic novel debuts on HBO. And Kit Harington hosts “Saturday Night Live.”,2019/04/06
"Accused of using its App Store to undercut competitors, Apple said Spotify was treated like all other developers that use the App Store.",2019/03/15
"At the beginning of every month, there are new movies and TV shows added to streaming platforms. Here are the titles we think are most interesting.",2017/06/01
"Corrections appearing in print on Tuesday, June 11, 2019.",2019/06/10
Kiernan Shipka and Stanley Tucci star in a new Netflix horror movie. And “The Girl on the Train” airs on FX.,2019/04/10
"At his tech-y new “smart salon” in Los Angeles, Ted Gibson aims to disrupt the whole hairstyling experience.",2019/07/17
"Fine jewelry, swimsuits and cocktail dresses are among the many items you can live with free for a while till it’s time to pay up or wrap up.",2017/07/05
Steve Harvey hosts “Miss Universe” once again. And here’s a chance to relish in the underdog story that is “Rocky.”,2018/12/16
"Taylor Mac, Oskar Eustis and Eisa Davis will be among those participating at the event in Queens.",2019/05/31
"Satellite data suggest 2018 wasn't as bad as the previous two years for tropical deforestation, but the overall trend of losing trees continues. ",2019/04/25
"The order did not set aside additional funds for A.I. development, and officials provided few details about how it would track the progress of the administration’s new policies.",2019/02/11
A host of regulatory issues have slowed the progress of drone-delivery companies but they are making some progress and lots of tests are underway.,2019/03/19
"A touching documentary on Mister Rogers airs on HBO and PBS, and the third season of “One Day at a Time” lands on Netflix.",2019/02/09
"Get nostalgic with a visit to “The Land Before Time,” and watch as the Golden State Warriors are honored by Sports Illustrated.",2018/12/13
Looking for something worth your time? Our critic Margaret Lyons has suggestions.,2019/05/02
Predicting the canon of Christmas movie future has never been easy. Here’s what The Times wrote about some of today’s favorites when they first hit screens.,2018/12/11
"The Italian director explored lives big and small, his touch both sweeping and intimate. He was also controversial. Here’s a closer look at his work.",2018/11/26
"Every month, subscription streaming services add a new batch of movies and TV shows to their libraries. Here are the titles we think are most interesting for July.",2018/07/01
"Amazon said that starting Monday, Whole Foods will offer lower prices on a “selection of best-selling staples across its stores, with much more to come.”",2017/08/24
"A software engineer, facing federal charges in Seattle, was accused of gaining access to 140,000 Social Security numbers and 80,000 bank account numbers.",2019/07/29
Here’s what you need to know to start your day.,2017/12/05
"This week’s Canada Letter, which is for and about Canada and Canadians, looks at the underwater hunt for traces of a Cold War fighter.",2017/09/15
Here’s what you need to know at the end of the day.,2018/01/18
"Choose between a “Daredevil” spinoff, a comedy starring Jenny Slate, a tender romantic drama and more this weekend.",2017/11/16
"Britain’s National Health Service has collaborated with Amazon to offer health information through Alexa, prompting questions about privacy and market advantage.",2019/07/10
U.S. Senator Mark Warner on Friday raised concerns over the Pentagon's decision to put on hold a $10 billion cloud computing contract after President Donald Trump said his administration was examining Amazon.com Inc's bid following complaints from...,reuters/20
"Everyone likes to complain about our company-based system, but there have been real examples of innovation.",2018/02/01
"The internet retailer agreed to pay about $50 million for the streaming rights to 10 games, according to a person briefed on the deal.",2017/04/04
"Brazilian President Jair Bolsonaro on Monday said there was no evidence an indigenous chief, whose death was decried by the U.N. commissioner for human rights, was killed by wildcat miners said to have invaded protected tribal lands. ",reuters/20
"The authorities said the smart home device made an emergency call, but Amazon and a 911 official said that was not plausible.",2017/07/11
"A hacker accessed the personal information of 106 million Capital One credit card holders or credit card applicants in the U.S. and Canada, in the latest massive data breach at a large company.",aponline/2
Amazon says it’s not responsible if its creations are abused.,2019/06/19
"The company is introducing voice and video calling with the Echo, the device that is powered by Alexa, its voice-activated smart assistant.",2017/05/09
JPMorgan Chase made the unusual choice to forgive customers’ balances as it exits the credit card business in Canada.,2019/08/09
A new documentary on Netflix looks at the Cambridge Analytica scandal. And Anne Hathaway stars opposite Matthew McConaughey in “Serenity.”,2019/07/24
"Amazon recently received an intriguing patent for an “on demand” apparel manufacturing system, which can quickly fill online orders for suits, dresses and other garments.",2017/04/30
"“The Last Tycoon,” a nine-episode series, is the latest good-looking attempt to adapt F. Scott Fitzgerald for the screen.",2017/07/20
"The town of Fordlândia, founded in 1928 by Henry Ford, stands as a crumbling testament to the folly of trying to bend the jungle to the will of man.",2017/02/20
"Amazon’s new Echo Show includes a touch screen and the ability to ask Alexa, its voice-activated assistant, to make video or voice calls over a Wi-Fi connection.",2017/05/09
"The tech billionaire argues that the company is selling an advanced military technology, artificial intelligence, to America’s main rival.",2019/08/02
Revisit Quentin Tarantino’s 2009 war movie ahead of a new release. Or watch a crime documentary on HBO.,2019/07/23
Deap Ubhi has spent his tech career bouncing around. Now he’s tangled up in a little battle over one of the biggest government I.T. contracts in history.,2019/03/20
"The company still trails in its effort to compete with Amazon, but the growth is a sign that it is making headway in its online presence.",2017/05/18
New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in October.,2017/10/01
"UniCredit has found no evidence so far of any customer data having been accessed or compromised in relation to a major data breach at Capital One Financial Corp, the bank said in a memo to staff on Thursday.",reuters/20
"For years, impostors have been posing as members of the military to bilk people out of money. Why has Facebook been unable to stop them?",2019/08/02
The rater has become the rated.,2019/04/19
"The retail giant winnowed a list of more than 238 applicants to just 20 on Thursday, including two cities in the metropolitan New York area.",2018/01/18
The decision comes as European authorities consider a raft of proposals aimed at increasing the amount of tax paid by American technology companies.,2017/10/03
Wall Street would probably have pummeled any other retailer that turned in the kind of performance Amazon reported Thursday: profits that were less than a third of what analysts had expected.,2017/07/27
"To understand why Jeff Bezos bought Whole Foods, look at the profit margins Apple generates at its stores.",2017/06/20
Let’s skip the nationwide bidding war and cut right to the winner.,interactiv
"The Amazon series, now in its fourth season, carries on a tradition of hard-boiled Los Angeles cop shows that stretches back to “Dragnet.”",2018/04/13
The American tech behemoth may be seeking to tailor its widely used voice recognition system to an Australian audience.,2017/07/26
"The three companies will create a new venture with the goal of simplifying coverage for their employees, in a move that unsettled the health care world.",2018/01/30
"Drama, Joan Didion and a return to the Upside Down: This weekend brings the goods.",2017/10/27
A British television news report said that the online retailer’s algorithms were automatically offering items that could be used to create an explosive device.,2017/09/20
"The couple were introduced by the bride’s father and met at Franklin & Marshall College, from which they graduated.",2019/04/07
"Wilson Cruz, a co-star in the new Hulu animated children's series ""The Bravest Knight,"" describes the show's dad couple this way: ""We're not explaining homosexuality, or same-gender sexuality. We're talking about the love of a family.""",aponline/2
"Atentados en Sri Lanka, Amazonas contra Amazon, buena memoria: lo que está sucediendo en América Latina y el mundo.",es/2019/04
An Oscar-nominated documentary set in rural Alabama is on PBS. And the crime series “White Dragon” is available to stream on Amazon.,2019/02/11
Six years ago the New York City mayor was one of the most important voices of the progressive left. Now he may be a liability.,2019/03/01
It took a human wrecking ball to get China’s attention.,2019/05/21
Here’s what you need to know.,2019/06/03
"Jeff Bezos announced on Twitter that his company had made its first automated shipment, a two-mile, 13-minute trip to a shopper in Cambridgeshire.",2016/12/14
"Citing American’s free speech protections, the administration said it would not endorse the ‘Christchurch Call,’ which urges major online platforms to eradicate violent and extremist content.",2019/05/15
Let’s not let artificial intelligence put society on autopilot.,2019/03/12
"The second season averaged 1.9 million viewers during its first seven days, according to Nielsen, which released an Amazon show’s figures for the first time.",2019/02/01
"People consume news in many ways, which is why Anna Dubenko’s job — editor of off-platform strategy — takes her to platforms where others go for a break from theirs.",2019/06/19
"Dow Chemical stopped making napalm for the military in 1969, just four years after it began. But the reputational damage haunted the company for decades.",2019/03/04
A feel-good movie about guide dogs in training hits Hulu. And the second season of a Finnish crime drama debuts on Netflix.,2019/02/02
"The corporate home of Wonder Woman, Harry Potter and “Friends” weighs how its streaming service can compete on price with Disney, Netflix and Amazon.",2019/06/02
"The couple met as 12-year-olds at Stonyhurst College in England, where they were taking entrance exams for that school.",2019/06/02
Germany’s top antitrust official is urging other countries to take on Facebook and its peers by attacking what the companies value most: data.,2019/07/07
Here’s what you need to know at the end of the day.,2019/05/14
"Central bank forecasts suggest that it won’t raise rates this year, and Wall Street couldn’t be happier.",2019/03/21
“The Lego Movie” airs on TBS. And Jake Gyllenhaal plays a deep-pocketed art critic in the new Netflix thriller “Velvet Buzzsaw.”,2019/02/01
"As New York reels from the company’s withdrawal, the State Senate’s newly empowered Democrats are facing the first major test of their leadership.",2019/02/15
Gov. Andrew M. Cuomo increased pressure on critics of the planned campus in Queens as executives inside the company chafed at new roadblocks.,2019/02/08
"Based on Neil Gaiman and Terry Pratchett’s comic fantasy novel, the story finally makes it to the screen.",2019/05/31
A series of hearings on Capitol Hill showed the rising force of the political backlash against the country’s tech giants.,2019/07/16
Labor groups aiming to organize a Staten Island warehouse were in talks with the company a day before it abandoned plans for a Queens headquarters.,2019/02/14
We’ve plucked out 100 of the absolute best movies included with a Prime subscription right now. Take a look.,interactiv
Amazon filed a motion saying the company was “justified in terminating its relationship with Allen.”,2019/04/03
"Eric Ulrich, one of two Republicans among 17 candidates for public advocate, may be well positioned to gather votes among those angry at Amazon’s exit.",2019/02/19
Wall Street has dominated New York’s economy for too long. Amazon’s HQ2 is a huge opportunity to diversify.,2018/11/16
The company wants its voice assistant to become a bigger part of more people’s lives.,2019/03/03
Amazon officially announced that it will put a major corporate outpost in the New York neighborhood of Long Island City. Here is what the Queens enclave has to offer the tech giant.,video/us/1
"Amazon said its Whole Foods stores would let customers order groceries online and pick them up in person. Walmart already offers that service at nearly 1,800 stores.",2018/08/08
"The tech giant is said to have settled on Long Island City in Queens as one of two locations to house some 50,000 employees. The other is in Virginia.",2018/11/05
A preview of the film.,video/embe
"As Amazon continues its search for its second headquarters, some city officials wonder what was offered and how much it will cost taxpayers.",2018/08/05
Thursday: A messy afternoon storm and a lottery player’s plans.,2018/11/15
The new anthology from the creator of “Mad Men” has moments of wonder amid sluggish storytelling.,2018/10/11
"The follow-up to an Emmy-winning first season looks fantastic and hasn’t lost a beat, but its core story repeats itself.",2018/12/03
"A British mini-series on Amazon Prime Video centers on a son of Pakistani immigrants whose wit, charm and courage make him a superior snitch.",2019/01/10
The Brazilian government’s indigenous affairs agency released footage of the man in Rondônia. The agency said that he is the sole surviving member of his tribe after the rest were attacked over 20 years ago.,video/worl
"Amazon finally provided some details about its plan to open a hub in Long Island City, including tax subsidies and other benefits.",2018/11/13
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for January.",2019/01/01
The new service is aimed at anyone who doesn’t want to risk a package being stolen from a porch and can’t receive an order at work.,2018/04/24
More than two dozen civil rights organizations asked the tech giant to stop selling its image recognition system to law enforcement agencies.,2018/05/22
"Among the items for sale on the site were Nazi-themed action figures and onesies for babies stamped with alt-right images, the report said.",2018/07/08
Profit-sharing plans for rank-and-file employees are vanishing as corporate America has adopted a new approach toward who reaps a healthy company’s gains.,2018/10/23
"With big ambitions in India, the retail giant has recruited hundreds of small businesses to get packages to the most remote customers — including those 11,562 feet up in the Himalayas.",2018/07/02
"The push by the online retail giant highlights the seismic shifts happening in the world of entertainment, as digital outlets compete for eyeballs with traditional broadcasters.",2018/06/07
Many of Amazon’s opponents have struggled for years to be heard. Now they have the country’s most powerful bullhorn — President Trump — on their side.,2018/04/22
"As concerns about growth and privacy issues took a toll, technology and banking stocks led a slide in Europe, and futures indicated that markets in the United States could follow.",2018/11/19
"Jennifer Salke, who championed shows like “This Is Us,” will succeed Roy Price, who was forced out in October after a sexual harassment allegation.",2018/02/09
Amazon has surprised officials in cities vying for the company’s new headquarters by asking how to avoid soaring housing costs and paralyzing traffic.,2018/04/29
Brazil is backpedaling on its protections of uncontacted tribes.,2017/09/23
"To create a Super Bowl snack, we bought the same ingredients at a new Whole Foods 365 store and a Walmart. The prices were different. So were the outcomes. ",2018/02/02
Higher shipping costs are a reason Amazon is raising the cost of Prime membership to $119 a year from $99. But a 20 percent hike could turn customers off.,2018/04/27
Those who resist powerful industries that savage ecosystems and drive people off their land face death and fear.,2019/08/01
"Amazon does not disclose its total compensation expense, but its disclosure of median pay provides some insight on the impact of paying its employees more.",2018/04/23
Here’s what you need to know at the end of the day.,2018/07/16
"The e-commerce giant has won two patents for a tracking technology that can nudge a human hand in the right direction — toward a warehouse bin, say.",2018/02/01
The tech giants singled out booming results from their devices in their quarterly financial results.,2018/02/01
"Every month, subscription streaming services add a ton of new movies and TV shows. Here are the ones we think are most interesting this month.",2018/08/01
"Some users reported that Alexa, Amazon’s digital assistant, has been laughing unexpectedly. The behavior is being fixed, the company says.",2018/03/08
Hundreds of cities hoped Amazon would think outside the box in picking its second headquarters. A desire for talent and a welcoming environment led it to the usual spots.,2018/01/18
"The opening of Amazon Go was alarming for many retailers, who saw a sudden willingness by Amazon to wield its power in new ways.",2018/04/01
"Visit a reserve in the remote central Amazon jungle, where researchers are shedding new light on how stronger, more frequent storms are driving major changes in the forest.",video/clim
Amazon Prime’s “Zoe” stars Ewan McGregor and Léa Seydoux; a daring indie series is out on Filmatique; and Martin Scorsese and Paul Schrader talk “Taxi.”,2018/07/13
Indigenous leaders battle to save their land and their way of life.,2019/03/19
Here’s what you need to know to start your day.,2018/05/31
"The list released Thursday leaned toward cities in the Midwest and on the East Coast, and away from the tech-saturated hubs of the West Coast.",2018/01/18
"The e-commerce giant’s actions – some big, like buying Whole Foods Markets; some smaller, like Amazon meal kits – have led to stock sell-offs for a wide range of businesses.",interactiv
"Every SoftBank investment can make waves, just like the $240 million one in Brandless that it made this week.",2018/08/03
A preview of the film.,video/embe
"States are getting more authority to collect taxes on e-commerce sales. That will hurt consumers and retailers, but probably not Amazon.",2018/06/22
"It’s Halloween season, so this month we’re paying extra attention to horror-themed TV series and movies coming to the major streaming services.",2018/10/01
Here’s what you need to know to start your day.,2018/09/05
"The online retailer is moving aggressively into digital advertising, emerging as a major competitor to Google and Facebook.",2018/09/03
Unrestrained strongmen use the state to punish — or silence — their enemies.,2018/05/25
"Jennifer Salke, the new head of the tech giant’s TV and movie division, is letting Hollywood know that the door is open for creative talent to find a home at Amazon.",2018/06/11
A preview of the film.,video/embe
"In an unusually public spat, Amazon is rethinking some building projects in Seattle because of a new tax being considered by the City Council.",2018/05/02
The Bay Area in California remains the nation’s high-tech epicenter. But New York’s tech work force has been growing impressively.,2018/11/14
"The race to surpass the symbolic market cap is Apple’s to lose, but Amazon is increasingly giving it some stiff competition.",2018/07/19
New York and Washington are leaving the rest of the country behind. Companies like Amazon explain why.,2018/11/07
November means warm kitchens and warm family gatherings. This month’s roundup highlights TV shows and movies that should suit the mood and occasion.,2018/11/01
"With the streaming service determined to find the next “Game of Thrones,” three quirky comedies about contemporary women may represent an endangered species.",2017/11/10
"Since the Whole Foods sale a year ago, traditional grocers have agreed to a variety of deals and partnerships. The latest investment is a Japanese chain’s $110 million stake in Boxed.",2018/08/21
A court battle over trade secrets highlighted how the Big Three corporations’ new unit is unnerving major insurers in the field.,2019/02/22
"The AT&T case could lead to an expanded view of the content and distribution market, perhaps changing what constitutes antitrust violation.",2018/05/03
"Some people say that the company is overvalued. But Jeff Bezos, its C.E.O., thinks that the sky is the limit.",2018/09/05
The e-commerce titan is raising hourly pay to $15 an hour in the wake of attacks over how it treats workers. But will investors buy it?,2018/10/02
